,train_R2,train_RMSE,train_MAE,test_R2,test_RMSE,test_MAE
1,0.9989131689071655,0.009151407517492771,0.006996973417699337,0.9682568311691284,0.04653286561369896,0.030046695843338966
2,0.998615026473999,0.010081537067890167,0.007498563267290592,0.97628253698349,0.04270622506737709,0.02851986512541771
3,0.9985314011573792,0.010450347326695919,0.007897778414189816,0.9772889018058777,0.04118731990456581,0.027501482516527176
4,0.9990327954292297,0.008462437428534031,0.006381541956216097,0.971453845500946,0.04640563577413559,0.029817184433341026
42,0.9983272552490234,0.011133836582303047,0.008505013771355152,0.9775481224060059,0.04110952094197273,0.028710143640637398
avg±std,0.9988 ± 0.0002,0.0095 ± 0.0009,0.0072 ± 0.0007,0.9733 ± 0.0042,0.0442 ± 0.0027,0.0290 ± 0.0012
