,train_R2,train_RMSE,train_MAE,test_R2,test_RMSE,test_MAE
1,0.9991683959960938,0.008004900068044662,0.006071821320801973,0.9740697741508484,0.04205697029829025,0.027812626212835312
2,0.9989141225814819,0.008926915004849434,0.006769066676497459,0.978247880935669,0.04089851677417755,0.027486998587846756
3,0.9984286427497864,0.010809766128659248,0.0081942742690444,0.9785653352737427,0.04001311957836151,0.02750699408352375
4,0.9982450604438782,0.01139906793832779,0.008664840832352638,0.9707767367362976,0.046952780336141586,0.030249446630477905
42,0.9976054430007935,0.01332133449614048,0.010173574090003967,0.9767173528671265,0.04186321049928665,0.02933354303240776
avg±std,0.9987 ± 0.0004,0.0098 ± 0.0016,0.0074 ± 0.0012,0.9754 ± 0.0037,0.0425 ± 0.0031,0.0283 ± 0.0013
