,train_R2,train_RMSE,train_MAE,test_R2,test_RMSE,test_MAE
1,0.9990105628967285,0.00873174611479044,0.006485766265541315,0.9686568975448608,0.04623869061470032,0.029699061065912247
2,0.9987380504608154,0.009623363614082336,0.0069963461719453335,0.9768083691596985,0.04223015904426575,0.028496727347373962
3,0.9987301826477051,0.009717362001538277,0.00741219986230135,0.9817149639129639,0.03695658966898918,0.025729244574904442
4,0.9986109137535095,0.010141478851437569,0.007616393268108368,0.9735686779022217,0.044653572142124176,0.02872372232377529
42,0.9988834857940674,0.009096333757042885,0.006909083109349012,0.9774037599563599,0.041241489350795746,0.028429348021745682
avg±std,0.9988 ± 0.0002,0.0096 ± 0.0006,0.0071 ± 0.0005,0.9752 ± 0.0055,0.0425 ± 0.0041,0.0282 ± 0.0017
