random_state,n_estimators,max_depth,R2,RMSE,MAE
1,100,10,0.9005294436067933,0.0862252872318366,0.055836816702318895
1,100,50,0.9189369067653032,0.07783930722008726,0.05010580069383681
1,100,100,0.9189369067653032,0.07783930722008726,0.050105800693836806
1,100,200,0.9189369067653032,0.07783930722008726,0.05010580069383681
1,100,500,0.9189369067653032,0.07783930722008726,0.050105800693836806
1,200,10,0.9002839158586364,0.08633163856493727,0.05574734886249949
1,200,50,0.9195536665611493,0.07754262584158955,0.04989013049838609
1,200,100,0.9195536665611493,0.07754262584158955,0.04989013049838609
1,200,200,0.9195536665611495,0.07754262584158955,0.04989013049838609
1,200,500,0.9195536665611495,0.07754262584158955,0.04989013049838609
1,300,10,0.9001566504003964,0.08638671258957496,0.055782935182496336
1,300,50,0.919779232490268,0.07743383746190345,0.049761725823347994
1,300,100,0.919779232490268,0.07743383746190345,0.049761725823347994
1,300,200,0.919779232490268,0.07743383746190345,0.049761725823347994
1,300,500,0.919779232490268,0.07743383746190345,0.049761725823347994
1,500,10,0.9004494318299452,0.08625995905781396,0.05569489924610316
1,500,50,0.9196039514092302,0.07751838714413499,0.049905414005315646
1,500,100,0.9196039514092302,0.07751838714413499,0.04990541400531566
1,500,200,0.9196039514092302,0.07751838714413499,0.04990541400531566
1,500,500,0.9196039514092302,0.07751838714413499,0.049905414005315646
1,1000,10,0.900785002678354,0.08611445128789848,0.05563958982929532
1,1000,50,0.9198612335299456,0.07739425121231339,0.04984951420284172
1,1000,100,0.9198612335299456,0.07739425121231339,0.04984951420284172
1,1000,200,0.9198612335299456,0.0773942512123134,0.04984951420284172
1,1000,500,0.9198612335299456,0.07739425121231339,0.04984951420284172
2,100,10,0.9063411815200211,0.08481685093356797,0.05659802795991255
2,100,50,0.9224076018814389,0.07720001663839449,0.05115490968658577
2,100,100,0.9224076018814389,0.07720001663839449,0.05115490968658577
2,100,200,0.9224076018814389,0.07720001663839449,0.05115490968658577
2,100,500,0.9224076018814389,0.07720001663839449,0.05115490968658577
2,200,10,0.9064980267355229,0.08474580214368947,0.05646936307853944
2,200,50,0.9234474082683437,0.07668099788164694,0.05085503077526934
2,200,100,0.9234474082683437,0.07668099788164694,0.05085503077526934
2,200,200,0.9234474082683437,0.07668099788164694,0.05085503077526934
2,200,500,0.9234474082683437,0.07668099788164695,0.05085503077526934
2,300,10,0.9066797590148483,0.08466340528095354,0.056504278316319684
2,300,50,0.9241089921474865,0.07634893208262455,0.05078413760817231
2,300,100,0.9241089921474865,0.07634893208262457,0.05078413760817232
2,300,200,0.9241089921474865,0.07634893208262455,0.05078413760817232
2,300,500,0.9241089921474865,0.07634893208262457,0.05078413760817232
2,500,10,0.9074999465476066,0.08429053269215393,0.056259941099743235
2,500,50,0.9253388080242269,0.07572778711090476,0.05043536325938616
2,500,100,0.9253388080242269,0.07572778711090476,0.050435363259386155
2,500,200,0.9253388080242269,0.07572778711090476,0.050435363259386155
2,500,500,0.9253388080242269,0.07572778711090476,0.050435363259386155
2,1000,10,0.9076262293414803,0.0842329755392209,0.05618783647371616
2,1000,50,0.9262758269598175,0.07525108419742096,0.05017376355855896
2,1000,100,0.9262758269598175,0.07525108419742096,0.05017376355855896
2,1000,200,0.9262758269598175,0.07525108419742096,0.05017376355855896
2,1000,500,0.9262758269598175,0.07525108419742096,0.05017376355855896
3,100,10,0.9119665777258035,0.07903969758335075,0.052941157054858884
3,100,50,0.924895077008659,0.07300551683612173,0.04808295092443218
3,100,100,0.924895077008659,0.07300551683612173,0.04808295092443218
3,100,200,0.924895077008659,0.07300551683612173,0.048082950924432176
3,100,500,0.924895077008659,0.07300551683612173,0.04808295092443218
3,200,10,0.9134687298913651,0.07836245193382402,0.05244694387725498
3,200,50,0.9278355057396552,0.07156213080551506,0.04731466600565592
3,200,100,0.9278355057396552,0.07156213080551506,0.04731466600565592
3,200,200,0.9278355057396552,0.07156213080551506,0.04731466600565592
3,200,500,0.9278355057396552,0.07156213080551506,0.04731466600565591
3,300,10,0.9131718048746362,0.07849678398585512,0.052411846019660036
3,300,50,0.9282192353223024,0.07137161392409622,0.04709795704446021
3,300,100,0.9282192353223024,0.07137161392409622,0.04709795704446021
3,300,200,0.9282192353223024,0.07137161392409622,0.04709795704446021
3,300,500,0.9282192353223024,0.07137161392409622,0.04709795704446021
3,500,10,0.9138540001208276,0.07818780755398848,0.0524287257324101
3,500,50,0.9287919895389433,0.0710862988793956,0.04709693172579855
3,500,100,0.9287919895389433,0.0710862988793956,0.04709693172579855
3,500,200,0.9287919895389433,0.0710862988793956,0.04709693172579855
3,500,500,0.9287919895389433,0.0710862988793956,0.04709693172579855
3,1000,10,0.9139731362683337,0.078133723690703,0.052439111577594504
3,1000,50,0.9288598301096448,0.07105242850287186,0.0471493118759137
3,1000,100,0.9288598301096448,0.07105242850287186,0.0471493118759137
3,1000,200,0.9288598301096448,0.07105242850287186,0.0471493118759137
3,1000,500,0.9288598301096448,0.07105242850287186,0.0471493118759137
4,100,10,0.8916708516092434,0.08926886581338486,0.05671120948074831
4,100,50,0.9119912118598985,0.08046191653857213,0.051039197261558034
4,100,100,0.9119912118598985,0.08046191653857213,0.051039197261558034
4,100,200,0.9119912118598985,0.08046191653857213,0.05103919726155804
4,100,500,0.9119912118598985,0.08046191653857213,0.051039197261558034
4,200,10,0.8940252818256035,0.0882934501466619,0.05634273220907928
4,200,50,0.9146835287966439,0.0792216337750508,0.050406452758672
4,200,100,0.9146835287966439,0.0792216337750508,0.050406452758672005
4,200,200,0.9146835287966439,0.07922163377505079,0.050406452758672
