,train_R2,train_RMSE,train_MAE,test_R2,test_RMSE,test_MAE
1,0.9795473217964172,0.03969896584749222,0.028159216046333313,0.935078501701355,0.06654707342386246,0.044671691954135895
2,0.9830067157745361,0.035314131528139114,0.024308959022164345,0.9493092894554138,0.062433987855911255,0.04178723320364952
3,0.9810389876365662,0.0375497043132782,0.026606496423482895,0.9457756280899048,0.06364166736602783,0.04421273246407509
4,0.9767612218856812,0.041480790823698044,0.027281245216727257,0.9417743682861328,0.06627564877271652,0.04444822296500206
5,0.9784445762634277,0.04020184651017189,0.026248054578900337,0.9321070909500122,0.07052423059940338,0.04589427635073662
avg±std,0.9801 ± 0.0026,0.0385 ± 0.0027,0.0266 ± 0.0016,0.9430 ± 0.0061,0.0647 ± 0.0020,0.0438 ± 0.0013
