,train_R2,train_RMSE,train_MAE,test_R2,test_RMSE,test_MAE
1,0.979167103767395,0.04006628692150116,0.026007596403360367,0.9457731246948242,0.06081939861178398,0.04101548343896866
2,0.9862686991691589,0.031744297593832016,0.022169003263115883,0.957499086856842,0.057168394327163696,0.038910578936338425
3,0.9873123168945312,0.030716141685843468,0.021742524579167366,0.9621325731277466,0.053183555603027344,0.03693416342139244
4,0.9844088554382324,0.03397655487060547,0.02378772385418415,0.9546753764152527,0.05847417563199997,0.0398896262049675
5,0.9854965209960938,0.03297644853591919,0.023283017799258232,0.9364452362060547,0.06823388487100601,0.04409943148493767
avg±std,0.9843 ± 0.0036,0.0341 ± 0.0042,0.0234 ± 0.0019,0.9550 ± 0.0069,0.0574 ± 0.0032,0.0392 ± 0.0017
