,train_R2,train_RMSE,train_MAE,test_R2,test_RMSE,test_MAE
1,0.9851562976837158,0.03382016345858574,0.023454902693629265,0.9514127969741821,0.057569943368434906,0.03962455689907074
2,0.9855546355247498,0.03255921229720116,0.023421138525009155,0.9629269242286682,0.05339323356747627,0.0366915725171566
3,0.9772126078605652,0.04116452485322952,0.02583697810769081,0.9658035635948181,0.05053993687033653,0.03644800931215286
4,0.9828608632087708,0.03562336042523384,0.02450229600071907,0.9606204628944397,0.054504502564668655,0.03689728304743767
5,0.9861065149307251,0.03227551653981209,0.022331872954964638,0.948895275592804,0.06118665263056755,0.04041830077767372
avg±std,0.9827 ± 0.0038,0.0358 ± 0.0038,0.0243 ± 0.0011,0.9602 ± 0.0062,0.0540 ± 0.0029,0.0374 ± 0.0015
