Epoch,Train_Loss,Test_Loss,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Train_MAE,Test_MAE
1,0.10859810256145218,0.05613831803202629,0.33065152,0.23693526,-0.4702427387237549,0.24842780828475952,0.2582014799118042,0.18798935413360596
2,0.05270105312493714,0.04625021666288376,0.22956343,0.21505864,0.2913147807121277,0.38080835342407227,0.18501226603984833,0.17404675483703613
3,0.046585908328944985,0.04135991632938385,0.2160442,0.20337139,0.37232738733291626,0.44627898931503296,0.17248329520225525,0.159097358584404
4,0.04192883335053921,0.037623535841703415,0.20479861,0.19396788,0.43597036600112915,0.4963011145591736,0.16118264198303223,0.15062731504440308
5,0.0407386664301157,0.04631314426660538,0.20203409,0.2152049,0.45109492540359497,0.3799659013748169,0.1586577296257019,0.1746971309185028
6,0.04135969882322983,0.036780159920454025,0.2034126,0.19178154,0.44357872009277344,0.5075922012329102,0.1609969139099121,0.15749944746494293
7,0.03874880126254125,0.03214350715279579,0.19685076,0.1792861,0.47889864444732666,0.5696671009063721,0.1564752608537674,0.14204542338848114
8,0.03554662063040517,0.03311717510223389,0.18828356,0.18198127,0.5232696533203125,0.5566316843032837,0.14762432873249054,0.14591312408447266
9,0.03458592210980979,0.03237777575850487,0.1855856,0.17993827,0.5368342399597168,0.566530704498291,0.14443638920783997,0.1364389955997467
10,0.03274669955399903,0.03117191791534424,0.18110898,0.17655571,0.5589092969894409,0.5826745629310608,0.14156828820705414,0.13470613956451416
11,0.03131487262858586,0.03360345959663391,0.17665994,0.18331246,0.5803142786026001,0.5501214265823364,0.13630029559135437,0.14589713513851166
12,0.03295686984942718,0.03017217293381691,0.18150252,0.17370139,0.5569902658462524,0.5960590243339539,0.13986904919147491,0.13058996200561523
13,0.030735586939210243,0.03125695884227753,0.17527156,0.17679639,0.5868850946426392,0.581536054611206,0.1340385228395462,0.13479174673557281
14,0.03162889504297213,0.03308698162436485,0.1780363,0.18189827,0.573749303817749,0.5570359826087952,0.1362307369709015,0.1405351459980011
15,0.03204901033843106,0.0325140580534935,0.17940131,0.18031655,0.567188024520874,0.5647062063217163,0.13799352943897247,0.14113320410251617
16,0.03089287563819777,0.030507247895002365,0.1763406,0.17466325,0.5818302631378174,0.5915731191635132,0.13644088804721832,0.13051961362361908
17,0.031306088055399334,0.030947992578148842,0.1766546,0.17592041,0.5803397297859192,0.5856724977493286,0.13517245650291443,0.1352221518754959
18,0.0303861912001263,0.0287028681486845,0.1741168,0.16941921,0.5923106670379639,0.6157298684120178,0.1330488622188568,0.1275980919599533
19,0.031184514476494354,0.028050104156136513,0.17637931,0.16748166,0.5816466808319092,0.624468982219696,0.13598664104938507,0.12617133557796478
20,0.02962543662976135,0.029850658029317856,0.17139894,0.17277344,0.6049389839172363,0.6003634333610535,0.13269756734371185,0.13645221292972565
21,0.03158403213389895,0.03127632290124893,0.17763892,0.17685114,0.5756499767303467,0.5812767744064331,0.13610735535621643,0.1388152539730072
22,0.03068896552378481,0.02969548851251602,0.17531238,0.1723238,0.5866926312446594,0.6024408340454102,0.13473403453826904,0.12536904215812683
23,0.02932764860716733,0.028073750436306,0.17094567,0.16755223,0.6070256233215332,0.624152421951294,0.1305677890777588,0.12884996831417084
24,0.02809078542684967,0.0284335408359766,0.16808972,0.16862248,0.6200466156005859,0.6193355917930603,0.12764841318130493,0.12611731886863708
25,0.02893587489697066,0.029955746605992317,0.1703814,0.17307729,0.609615683555603,0.5989564657211304,0.12857963144779205,0.1363516002893448
26,0.029367760416458954,0.029387379065155983,0.17160365,0.17142747,0.6039947271347046,0.6065657138824463,0.1318754255771637,0.12733131647109985
27,0.02880723283372142,0.028149772435426712,0.16969894,0.16777894,0.6127368211746216,0.6231346130371094,0.1292707622051239,0.12635046243667603
28,0.028474663976918568,0.02966468222439289,0.1688132,0.17223439,0.6167688965797424,0.6028531789779663,0.1278967410326004,0.13260234892368317
29,0.02856371475552971,0.030514521524310112,0.16868983,0.17468408,0.6173288226127625,0.5914756655693054,0.12662550806999207,0.13694758713245392
30,0.029022360051220112,0.027920156717300415,0.17036429,0.16709326,0.6096941232681274,0.6262086629867554,0.12966607511043549,0.1320401430130005
