Epoch,Train_Loss,Test_Loss,Train_RMSE,Test_RMSE,Train_R2,Test_R2,Train_MAE,Test_MAE
1,0.10075920532372865,0.06110886484384537,0.31842586,0.24720207,-0.315854549407959,0.10415101051330566,0.2418832927942276,0.19380924105644226
2,0.054178457368503914,0.04883940890431404,0.2331032,0.2209964,0.2948399782180786,0.2840198874473572,0.1877409666776657,0.17426957190036774
3,0.042703608220273796,0.039271075278520584,0.20677614,0.1981693,0.4451289176940918,0.4242905378341675,0.1625242978334427,0.15513984858989716
4,0.03830836958844553,0.03183674439787865,0.19595338,0.17842853,0.5016932487487793,0.5332770347595215,0.15374363958835602,0.14154654741287231
5,0.036703965795988384,0.034175463020801544,0.19127662,0.18486607,0.525195300579071,0.49899160861968994,0.14836980402469635,0.1424187570810318
6,0.032793856733901935,0.028468333184719086,0.18142773,0.16872561,0.5728321075439453,0.5826574563980103,0.14090698957443237,0.1264922320842743
7,0.030282096767967396,0.02917090244591236,0.17387824,0.17079492,0.6076427698135376,0.5723578929901123,0.13525515794754028,0.12860727310180664
8,0.028286924501034347,0.022643189877271652,0.16796425,0.15047655,0.6338787078857422,0.668053388595581,0.12867431342601776,0.11671126633882523
9,0.024274501272223213,0.02025759220123291,0.15580252,0.14232917,0.6849784851074219,0.7030259370803833,0.11973772197961807,0.10609006881713867
10,0.021435676946897398,0.023450763896107674,0.14696185,0.15313643,0.7197145819664001,0.6562144756317139,0.1106674075126648,0.11342216283082962
11,0.021001049571416595,0.0239587239921093,0.1448991,0.15478605,0.7275275588035583,0.64876788854599,0.10726085305213928,0.11719048023223877
12,0.022462299855595284,0.019378282129764557,0.14966564,0.1392059,0.7093063592910767,0.7159165740013123,0.11258192360401154,0.1051124855875969
13,0.021417958026921206,0.019696133211255074,0.1464817,0.14034292,0.7215431928634644,0.7112569212913513,0.11001943796873093,0.10319668799638748
14,0.021130870731378145,0.018644889816641808,0.14584254,0.1365463,0.7239678502082825,0.7266680002212524,0.10872083157300949,0.09629663079977036
15,0.018873754719441586,0.0165108572691679,0.13723275,0.12849458,0.7555968761444092,0.7579527497291565,0.10176311433315277,0.09285105764865875
16,0.016290516550229353,0.018014857545495033,0.1276717,0.13421944,0.7884657979011536,0.7359042167663574,0.09412755817174911,0.09460397064685822
17,0.017040662552145393,0.016031626611948013,0.13045736,0.12661606,0.7791342735290527,0.7649781703948975,0.09502558410167694,0.09254883974790573
18,0.015921599104661833,0.01567261479794979,0.12636518,0.12519032,0.7927731275558472,0.7702412605285645,0.09088809788227081,0.08650923520326614
19,0.014971106059171936,0.018620582297444344,0.12238804,0.13645725,0.8056120872497559,0.7270244359970093,0.08832461386919022,0.09928980469703674
20,0.015073555521667004,0.016528209671378136,0.123133734,0.1285621,0.8032361268997192,0.7576982975006104,0.09079654514789581,0.09256729483604431
21,0.016087681139734657,0.014042406342923641,0.12688613,0.11850066,0.7910610437393188,0.7941399812698364,0.09455226361751556,0.08362863957881927
22,0.014133755625648932,0.017537996172904968,0.11897225,0.1324311,0.816311240196228,0.7428950071334839,0.08621929585933685,0.09590592235326767
23,0.014030701311474497,0.013586556538939476,0.11872673,0.11656138,0.8170686364173889,0.8008226156234741,0.08667460083961487,0.0825233981013298
24,0.012467032383111391,0.014372528530657291,0.11178095,0.11988548,0.8378462791442871,0.7893003821372986,0.08084103465080261,0.0885591208934784
25,0.012765153184194456,0.015373965725302696,0.11294736,0.123991795,0.8344445824623108,0.7746194005012512,0.07910087704658508,0.08666472136974335
26,0.012167668181725523,0.014395409263670444,0.110355556,0.11998087,0.8419554233551025,0.7889649271965027,0.07910413295030594,0.0832250714302063
27,0.01404519992965189,0.016442006453871727,0.11877836,0.1282264,0.8169094324111938,0.7589620351791382,0.0842430368065834,0.09506680816411972
28,0.012374030214480379,0.011926311068236828,0.11146201,0.10920765,0.83877032995224,0.8251616358757019,0.08110911399126053,0.07526862621307373
29,0.010384687794033776,0.012582814320921898,0.10187467,0.11217315,0.8653136491775513,0.8155373930931091,0.0724029541015625,0.0777231827378273
30,0.01085453309034082,0.011740613728761673,0.10417039,0.108354114,0.8591749668121338,0.8278839588165283,0.07368269562721252,0.0744873657822609
31,0.011354111896997148,0.01461789384484291,0.10649345,0.12090448,0.8528239727020264,0.7857033610343933,0.07437386363744736,0.08830134570598602
32,0.012393057769672438,0.012519912794232368,0.11102476,0.11189242,0.8400328159332275,0.8164595365524292,0.08066754788160324,0.07927533239126205
33,0.010287193390964107,0.012459159828722477,0.10135045,0.111620605,0.8666961789131165,0.8173501491546631,0.07132630795240402,0.07733362168073654
34,0.010137435450980609,0.013366996310651302,0.100779645,0.115615726,0.868193507194519,0.8040413856506348,0.07146710902452469,0.08479465544223785
35,0.009524982189759612,0.012341784313321114,0.09770486,0.11109359,0.8761136531829834,0.8190708160400391,0.06908227503299713,0.07780193537473679
36,0.010144373719495807,0.012280567549169064,0.09968569,0.11081772,0.8710394501686096,0.8199682831764221,0.072630874812603,0.07772865891456604
37,0.010207502150230786,0.012480600737035275,0.10077255,0.111716606,0.8682120442390442,0.8170357942581177,0.07179316133260727,0.07625142484903336
38,0.010013629999858413,0.011360484175384045,0.09980973,0.10658557,0.8707183599472046,0.8334566354751587,0.06972873955965042,0.07201114296913147
39,0.009133919269185175,0.013760596513748169,0.095668264,0.11730557,0.8812244534492493,0.7982712388038635,0.06674733757972717,0.08448076993227005
40,0.00927774093791165,0.009902577847242355,0.095972255,0.0995117,0.8804684281349182,0.8548293113708496,0.06717532873153687,0.06735267490148544
41,0.009879957821050828,0.012888230383396149,0.09931474,0.113526344,0.8719974160194397,0.8110600113868713,0.07035578787326813,0.07743112742900848
42,0.008840464351868088,0.010960204526782036,0.09416068,0.104691,0.8849384188652039,0.8393246531486511,0.0661633089184761,0.07169720530509949
43,0.009218398777937347,0.01066470704972744,0.096300505,0.103270076,0.8796494007110596,0.843656599521637,0.06688950210809708,0.07096479833126068
44,0.00868303597566079,0.010668013244867325,0.09259517,0.10328607,0.8887326121330261,0.8436081409454346,0.06417255848646164,0.07031019032001495
45,0.008697907779027115,0.011964967474341393,0.09254152,0.10938449,0.8888615369796753,0.8245949745178223,0.06536619365215302,0.07806913554668427
46,0.009475706060501661,0.010613176971673965,0.09731263,0.10302028,0.8771063089370728,0.8444120287895203,0.06916790455579758,0.0698261559009552
47,0.009213653689419682,0.010164083912968636,0.096138105,0.100817084,0.8800549507141113,0.850995659828186,0.06648702174425125,0.06876397877931595
48,0.008659717288206924,0.013303004205226898,0.09330809,0.11533865,0.8870126605033875,0.8049795031547546,0.06475196033716202,0.08193007111549377
49,0.009962950325147673,0.011431848630309105,0.09968756,0.106919825,0.8710346221923828,0.8324103951454163,0.07011429220438004,0.07459640502929688
50,0.007580137091942809,0.010296696797013283,0.08718322,0.10147264,0.9013590812683105,0.8490515947341919,0.06182599067687988,0.06941141188144684
51,0.007300480268895626,0.010541525669395924,0.0852741,0.102671936,0.9056318402290344,0.845462441444397,0.060021936893463135,0.06771484017372131
52,0.007458064493469216,0.010127007961273193,0.086066715,0.10063303,0.9038693904876709,0.8515392541885376,0.06014201045036316,0.0691259577870369
53,0.006975002512759106,0.00885756779462099,0.08300045,0.09411465,0.9105969667434692,0.8701490759849548,0.059193626046180725,0.0651044175028801
54,0.007836378369988366,0.009821311570703983,0.088385954,0.099102534,0.8986186981201172,0.8560206890106201,0.06034519150853157,0.06778297573328018
55,0.007907896217974749,0.010533427819609642,0.08898932,0.102632485,0.8972298502922058,0.8455811738967896,0.06259870529174805,0.06837360560894012
56,0.008767309979620304,0.010897212661802769,0.09254557,0.10438971,0.8888517618179321,0.8402481079101562,0.06569593399763107,0.07507340610027313
57,0.008035893128676848,0.008950252085924149,0.089741334,0.09460577,0.895485520362854,0.868790328502655,0.06366036087274551,0.06359120458364487
58,0.007051433013244109,0.008644521236419678,0.08356238,0.09297592,0.9093823432922363,0.8732722997665405,0.05858522653579712,0.060842063277959824
59,0.007242812563411214,0.010210863314568996,0.08477273,0.10104882,0.90673828125,0.8503099083900452,0.060441531240940094,0.06821589916944504
60,0.007559841392900456,0.011770857498049736,0.08679603,0.10849358,0.9022333025932312,0.8274405598640442,0.060608185827732086,0.07558593153953552
61,0.007079088838178326,0.00804461631923914,0.084567435,0.08969179,0.9071894288063049,0.8820668458938599,0.05928648263216019,0.06092933565378189
62,0.006238491740077734,0.008361761458218098,0.07890846,0.09144267,0.9191949963569641,0.8774175047874451,0.05398797616362572,0.059550728648900986
63,0.006500279192220081,0.009277274832129478,0.08022445,0.09631861,0.9164772629737854,0.8639962077140808,0.05714552104473114,0.0649392157793045
64,0.006384899892674928,0.008154626004397869,0.079731375,0.09030297,0.9175007939338684,0.8804541230201721,0.055377986282110214,0.05969301983714104
65,0.005678602134470235,0.008577828295528889,0.07516849,0.09261657,0.926673173904419,0.8742499947547913,0.05266748368740082,0.06293278187513351
66,0.005613538796420802,0.008518114686012268,0.0748734,0.092293635,0.9272477626800537,0.8751254081726074,0.05383128672838211,0.06172094866633415
67,0.005769579057497057,0.008314928039908409,0.07616375,0.091186225,0.9247185587882996,0.8781040906906128,0.05387753248214722,0.062158431857824326
68,0.0069010598712008105,0.009256236255168915,0.08204861,0.09620933,0.9126358032226562,0.8643046617507935,0.05613343417644501,0.06987428665161133
69,0.0066685061901807785,0.007893259637057781,0.081291296,0.088844016,0.9142410755157471,0.8842857480049133,0.05701124668121338,0.06097392365336418
70,0.0058338613122362985,0.00924430787563324,0.07647199,0.09614732,0.9241080284118652,0.8644794821739197,0.05429306998848915,0.06661611050367355
71,0.006400252247906544,0.009532652795314789,0.07996357,0.09763531,0.9170196056365967,0.8602523803710938,0.05569564923644066,0.06711520999670029
72,0.0062753382900899105,0.007041032891720533,0.07930111,0.08391087,0.9183887839317322,0.8967792391777039,0.05504148453474045,0.05693716183304787
73,0.0059682827400551605,0.007287587039172649,0.0772561,0.08536737,0.9225437045097351,0.8931648135185242,0.05402618646621704,0.05768731236457825
74,0.00568872034041719,0.008107397705316544,0.07514096,0.09004109,0.9267268776893616,0.8811464905738831,0.05244571343064308,0.06324227154254913
75,0.006357279563830657,0.007984054274857044,0.07962095,0.08935354,0.9177291393280029,0.8829546570777893,0.05732882395386696,0.06105027347803116
76,0.0053147371350364256,0.0064618149772286415,0.0728121,0.08038542,0.9311984181404114,0.905270516872406,0.05090885981917381,0.0553961917757988
77,0.004675491416657513,0.007609101478010416,0.068364255,0.08723016,0.9393473863601685,0.8884514570236206,0.048270124942064285,0.05849822983145714
78,0.005694457477974621,0.01043502613902092,0.0754202,0.102151975,0.9261812567710876,0.8470237255096436,0.05437469854950905,0.06909273564815521
79,0.00577666503588923,0.007764817681163549,0.07610337,0.0881182,0.9248378872871399,0.8861686587333679,0.054116785526275635,0.05963209271430969
80,0.005534743509170684,0.006527052726596594,0.074413344,0.08079018,0.9281390905380249,0.9043141603469849,0.05188902094960213,0.05501650273799896
81,0.004629111319611018,0.007710549049079418,0.06794004,0.087809734,0.9400978088378906,0.8869642019271851,0.04810650646686554,0.05986638739705086
82,0.005066705158572982,0.008406569249927998,0.07130253,0.091687344,0.9340217113494873,0.8767606616020203,0.050700023770332336,0.05932299792766571
83,0.004705338770608333,0.007187814451754093,0.068267494,0.084780976,0.9395189881324768,0.8946274518966675,0.0465821735560894,0.054189667105674744
84,0.00504545978566801,0.007852330803871155,0.07065968,0.088613376,0.9352060556411743,0.8848857283592224,0.049508992582559586,0.058646127581596375
85,0.0054366531866517935,0.007231621537357569,0.07369785,0.08503894,0.9295142889022827,0.8939852714538574,0.0508369505405426,0.05744530260562897
86,0.004696521474133161,0.00655045872554183,0.06841492,0.080934905,0.9392574429512024,0.9039710164070129,0.04843979701399803,0.05421079322695732
87,0.004963213260370222,0.006914282683283091,0.07028085,0.08315217,0.9358989000320435,0.8986374139785767,0.04912106692790985,0.057166505604982376
88,0.005691692317751321,0.008743957616388798,0.07486829,0.09350913,0.9272577166557312,0.8718146085739136,0.05191175639629364,0.06205035373568535
89,0.005399193085560744,0.007729405537247658,0.073579706,0.08791704,0.9297401309013367,0.8866878151893616,0.05233791843056679,0.058958977460861206
90,0.00435670881151137,0.006738325115293264,0.06608881,0.0820873,0.9433177709579468,0.9012169241905212,0.046527665108442307,0.05503561720252037
91,0.004204051209275018,0.0073067015036940575,0.06488361,0.08547924,0.9453662037849426,0.8928846120834351,0.0460478849709034,0.057767003774642944
92,0.004246951239606874,0.008566329255700111,0.06500486,0.092554465,0.9451618194580078,0.8744186162948608,0.047542132437229156,0.06656453013420105
93,0.004085340738211843,0.006546881981194019,0.063842274,0.080912806,0.9471058249473572,0.9040234684944153,0.046316344290971756,0.05523041635751724
94,0.0044137868839739395,0.0073682754300534725,0.06628846,0.08583866,0.9429747462272644,0.8919818997383118,0.047372039407491684,0.05544307455420494
95,0.004357585323635827,0.006698119454085827,0.06613513,0.081842035,0.9432382583618164,0.9018063545227051,0.04682144150137901,0.05710945650935173
96,0.0034562495685267177,0.0059734974056482315,0.058664523,0.077288404,0.9553375840187073,0.9124292135238647,0.04236924648284912,0.05157767981290817
97,0.003538782634264366,0.006311502773314714,0.059406612,0.07944497,0.9542005062103271,0.9074741005897522,0.0427476242184639,0.05417089909315109
98,0.0033778281120414085,0.006940020248293877,0.057925474,0.08330679,0.9564557671546936,0.8982601165771484,0.042568597942590714,0.05777802690863609
